lib	clopus	centile
eu27	be2009.mhgt	be_2009_hgt_male_
eu27	be2009.mwgt	be_2009_wgt_male_
eu27	be2009.mbmi	be_2009_bmi_male_
eu27	bg2011.mhgt	bg_2011_hgt_male_
eu27	bg2011.mwgt	bg_2011_wgt_male_
eu27	cy2000.mhgt	cy_2000_hgt_male_
eu27	cy2000.mwgt	cy_2000_wgt_male_
eu27	cy2000.mbmi	cy_2000_bmi_male_
eu27	cz2001.mhgt	cz_2001_hgt_male_
eu27	cz2001.mwgt	cz_2001_wgt_male_
eu27	cz2001.mbmi	cz_2001_bmi_male_
eu27	de2001.mhgt	de_2001_hgt_male_
eu27	de2001.mwgt	de_2001_wgt_male_
eu27	de2001.mbmi	de_2001_bmi_male_
eu27	de2009.mbmi	de_2009_bmi_male_
eu27	de2010.mbmi	de_2010_bmi_male_
eu27	de2011.mhgt	de_2011_hgt_male_
eu27	dk2010.mhgt	dk_2010_hgt_male_
eu27	dk2010.mwgt	dk_2010_wgt_male_
eu27	dk2010.mbmi	dk_2010_bmi_male_
eu27	ee1996.mhgt	ee_1996_hgt_male_
eu27	ee1996.mwgt	ee_1996_wgt_male_
eu27	ee1996.mbmi	ee_1996_bmi_male_
eu27	es2008.mhgt	es_2008_hgt_male_
eu27	es2008.mwgt	es_2008_wgt_male_
eu27	es2008.mbmi	es_2008_bmi_male_
eu27	eu2012.mhgt	eu_2012_hgt_male_
eu27	eu2012.mwgt	eu_2012_wgt_male_
eu27	eu2012.mbmi	eu_2012_bmi_male_
eu27	fi2011.mhgt	fi_2011_hgt_male_
eu27	fi2011.mwgt	fi_2011_wgt_male_
eu27	fi2011.mbmi	fi_2011_bmi_male_
eu27	fr2004.mhgt	fr_2004_hgt_male_
eu27	fr2004.mwgt	fr_2004_wgt_male_
eu27	fr2004.mbmi	fr_2004_bmi_male_
eu27	gr2001.mhgt	gr_2001_hgt_male_
eu27	gr2001.mwgt	gr_2001_wgt_male_
eu27	gr2001.mbmi	gr_2001_bmi_male_
eu27	hu2006.mhgt	hu_2006_hgt_male_
eu27	hu2006.mwgt	hu_2006_wgt_male_
eu27	hu2006.mbmi	hu_2006_bmi_male_
eu27	it2006.mhgt	it_2006_hgt_male_
eu27	it2006.mwgt	it_2006_wgt_male_
eu27	it2006.mbmi	it_2006_bmi_male_
eu27	lt2000.mhgt	lt_2000_hgt_male_
eu27	lt2000.mwgt	lt_2000_wgt_male_
eu27	lt2000.mbmi	lt_2000_bmi_male_
eu27	nl2009.mhgt	nl_2009_hgt_male_
eu27	nl2009.mwgt	nl_2009_wgt_male_
eu27	nl2009.mbmi	nl_2009_bmi_male_
eu27	pl2011.mhgt	pl_2011_hgt_male_
eu27	pl2011.mwgt	pl_2011_wgt_male_
eu27	pl2011.mbmi	pl_2011_bmi_male_
eu27	se2002.mhgt	se_2002_hgt_male_
eu27	se2002.mwgt	se_2002_wgt_male_
eu27	se2002.mbmi	se_2002_bmi_male_
eu27	sk2001.mhgt	sk_2001_hgt_male_
eu27	sk2001.mwgt	sk_2001_wgt_male_
eu27	sk2001.mbmi	sk_2001_bmi_male_
eu27	uk1996.mhgt	uk_1996_hgt_male_
eu27	uk1996.mwgt	uk_1996_wgt_male_
eu27	uk1996.mbmi	uk_1996_bmi_male_
eu27	be2009.fhgt	be_2009_hgt_female_
eu27	be2009.fwgt	be_2009_wgt_female_
eu27	be2009.fbmi	be_2009_bmi_female_
eu27	bg2011.fhgt	bg_2011_hgt_female_
eu27	bg2011.fwgt	bg_2011_wgt_female_
eu27	cy2000.fhgt	cy_2000_hgt_female_
eu27	cy2000.fwgt	cy_2000_wgt_female_
eu27	cy2000.fbmi	cy_2000_bmi_female_
eu27	cz2001.fhgt	cz_2001_hgt_female_
eu27	cz2001.fwgt	cz_2001_wgt_female_
